"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
Myanmar,633911,4.0,19490.0,0.0,614397.0,2.0,24.0,11478.0,353.0,10044941.0,181884.0,55227143.0,Asia,2023-02-26
Palestine,621008,0.0,5404.0,0.0,615445.0,0.0,159.0,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia,2023-02-26
Estonia,614848,0.0,2934.0,0.0,524990.0,0.0,86924.0,465121.0,2220.0,3671717.0,2777585.0,1321910.0,Europe,2023-02-26
Moldova,603750,0.0,11974.0,0.0,504142.0,0.0,87634.0,150442.0,2984.0,3216305.0,801437.0,4013171.0,Europe,2023-02-26
Venezuela,551974,0.0,5853.0,0.0,545841.0,0.0,280.0,18860.0,200.0,3359014.0,114771.0,29266991.0,South America,2023-02-26
Egypt,515698,0.0,24613.0,0.0,442182.0,0.0,48903.0,4858.0,232.0,3693367.0,34792.0,106156692.0,Africa,2023-02-26
Libya,507171,0.0,6437.0,0.0,500733.0,0.0,1.0,72034.0,914.0,2483538.0,352738.0,7040745.0,Africa,2023-02-26
China,503302,0.0,5272.0,0.0,379053.0,0.0,118977.0,347.0,4.0,160000000.0,110461.0,1448471400.0,Asia,2023-02-26
Ethiopia,499959,0.0,7572.0,0.0,487221.0,0.0,5166.0,4138.0,63.0,5486754.0,45415.0,120812698.0,Africa,2023-02-26
Qatar,493936,89.0,686.0,0.0,492929.0,234.0,321.0,165755.0,230.0,4065369.0,1364257.0,2979915.0,Asia,2023-02-26
Réunion,486588,0.0,921.0,0.0,418572.0,0.0,67095.0,535854.0,1014.0,1603660.0,1766027.0,908061.0,Africa,2023-02-26
Honduras,471557,0.0,11109.0,0.0,,,,46135.0,1087.0,1626616.0,159141.0,10221247.0,North America,2023-02-26
Armenia,446819,0.0,8721.0,0.0,435162.0,0.0,2936.0,150345.0,2934.0,3242901.0,1091164.0,2971966.0,Asia,2023-02-26
Bosnia and Herzegovina,401575,0.0,16278.0,0.0,379084.0,0.0,6213.0,123588.0,5010.0,1884721.0,580036.0,3249317.0,Europe,2023-02-26
Oman,399449,0.0,4628.0,0.0,384669.0,0.0,10152.0,75028.0,869.0,25000000.0,4695724.0,5323993.0,Asia,2023-02-26
North Macedonia,346852,0.0,9662.0,0.0,337068.0,0.0,122.0,166651.0,4642.0,2226216.0,1069626.0,2081304.0,Europe,2023-02-26
Kenya,342900,0.0,5688.0,0.0,337183.0,0.0,29.0,6100.0,101.0,3967062.0,70569.0,56215221.0,Africa,2023-02-26
Zambia,342831,0.0,4055.0,0.0,338289.0,0.0,487.0,17608.0,208.0,3923997.0,201538.0,19470234.0,Africa,2023-02-26
Albania,334378,5.0,3596.0,0.0,329127.0,13.0,1655.0,116655.0,1255.0,1941032.0,677173.0,2866374.0,Europe,2023-02-26
Botswana,329662,0.0,2801.0,0.0,326868.0,0.0,-7.0,135043.0,1147.0,2026898.0,830300.0,2441162.0,Africa,2023-02-26
Luxembourg,297757,0.0,1133.0,0.0,288991.0,0.0,7633.0,463528.0,1764.0,4412567.0,6869188.0,642371.0,Europe,2023-02-26
Montenegro,288088,0.0,2801.0,0.0,284463.0,0.0,824.0,458775.0,4461.0,2714923.0,4323470.0,627950.0,Europe,2023-02-26
Brunei,277992,0.0,225.0,0.0,243601.0,0.0,34166.0,624097.0,505.0,717784.0,1611437.0,445431.0,Asia,2023-02-26
Algeria,271440,1.0,6881.0,0.0,182791.0,1.0,81768.0,5985.0,152.0,230861.0,5091.0,45350148.0,Africa,2023-02-26
Nigeria,266463,0.0,3155.0,0.0,259850.0,0.0,3458.0,1229.0,15.0,5708974.0,26339.0,216746934.0,Africa,2023-02-26
Zimbabwe,263921,0.0,5663.0,0.0,257205.0,0.0,1053.0,17214.0,369.0,2525756.0,164744.0,15331428.0,Africa,2023-02-26
Uzbekistan,250932,0.0,1637.0,0.0,241486.0,0.0,7809.0,7298.0,48.0,1377915.0,40077.0,34382084.0,Asia,2023-02-26
Mozambique,233098,0.0,2242.0,0.0,228805.0,0.0,2051.0,7044.0,68.0,1371127.0,41437.0,33089461.0,Africa,2023-02-26
Martinique,229807,0.0,1098.0,0.0,,,,614314.0,2935.0,828928.0,2215870.0,374087.0,North America,2023-02-26
Laos,218015,0.0,758.0,0.0,,,,29142.0,101.0,1233207.0,164845.0,7481023.0,Asia,2023-02-26
Afghanistan,209274,11.0,7896.0,0.0,190648.0,40.0,10730.0,5135.0,194.0,1199575.0,29434.0,40754388.0,Asia,2023-02-26
Iceland,208999,0.0,229.0,0.0,,,,605105.0,663.0,1996384.0,5780036.0,345393.0,Europe,2023-02-26
Kyrgyzstan,206633,0.0,2991.0,0.0,196406.0,0.0,7236.0,30711.0,445.0,1907195.0,283460.0,6728271.0,Asia,2023-02-26
Guadeloupe,201852,0.0,1010.0,0.0,,,,504890.0,2526.0,938039.0,2346306.0,399794.0,North America,2023-02-26
El Salvador,201785,0.0,4230.0,0.0,179410.0,0.0,18145.0,30805.0,646.0,2610114.0,398467.0,6550389.0,North America,2023-02-26
Trinidad and Tobago,188737,0.0,4339.0,0.0,184363.0,0.0,35.0,134181.0,3085.0,895520.0,636663.0,1406585.0,North America,2023-02-26
Maldives,185729,0.0,311.0,0.0,163687.0,0.0,21731.0,343316.0,575.0,2213831.0,4092223.0,540985.0,Asia,2023-02-26
Ghana,171172,0.0,1462.0,0.0,169697.0,0.0,13.0,5284.0,45.0,2529956.0,78096.0,32395450.0,Africa,2023-02-26
Namibia,171121,0.0,4090.0,0.0,166689.0,0.0,342.0,64969.0,1553.0,1062663.0,403460.0,2633874.0,Africa,2023-02-26
Uganda,170478,0.0,3630.0,0.0,100431.0,0.0,66417.0,3520.0,75.0,3012408.0,62198.0,48432863.0,Africa,2023-02-26
Jamaica,154065,0.0,3500.0,0.0,102393.0,0.0,48172.0,51611.0,1172.0,1183986.0,396633.0,2985094.0,North America,2023-02-26
Cambodia,138714,0.0,3056.0,0.0,135650.0,0.0,8.0,8079.0,178.0,3091420.0,180062.0,17168639.0,Asia,2023-02-26
