#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
102.0,Albania,334443,16.0,3598.0,1.0,329185,+16,1660,,116678.0,1255.0,1941032.0,677173.0,2866374.0,Europe,08-03-2023
103.0,Botswana,329758,,2801.0,,326916,,41,1,135082.0,1147.0,2026898.0,830300.0,2441162.0,Africa,08-03-2023
104.0,Luxembourg,297757,,1133.0,,288991,,7633,,463528.0,1764.0,4412567.0,6869188.0,642371.0,Europe,08-03-2023
105.0,Montenegro,288752,70.0,2808.0,,285297,+83,647,6,459833.0,4472.0,2722531.0,4335586.0,627950.0,Europe,08-03-2023
106.0,Brunei,279661,,225.0,,243601,,35835,,627844.0,505.0,717784.0,1611437.0,445431.0,Asia,08-03-2023
107.0,Algeria,271494,4.0,6881.0,,182811,+3,81802,,5987.0,152.0,230861.0,5091.0,45350148.0,Africa,08-03-2023
108.0,Nigeria,266598,,3155.0,,259917,,3526,11,1230.0,15.0,5708974.0,26339.0,216746934.0,Africa,08-03-2023
109.0,Zimbabwe,264276,149.0,5671.0,3.0,258184,+345,421,12,17238.0,370.0,2525756.0,164744.0,15331428.0,Africa,08-03-2023
110.0,Uzbekistan,251247,176.0,1637.0,,241486,,8124,23,7307.0,48.0,1377915.0,40077.0,34382084.0,Asia,08-03-2023
111.0,Mozambique,233214,,2242.0,,228805,,2167,11,7048.0,68.0,1371127.0,41437.0,33089461.0,Africa,08-03-2023
112.0,Martinique,229807,,1098.0,,-,-,-,12,614314.0,2935.0,828928.0,2215870.0,374087.0,North America,08-03-2023
113.0,Laos,218023,3.0,758.0,,-,-,-,,29143.0,101.0,1233207.0,164845.0,7481023.0,Asia,08-03-2023
114.0,Afghanistan,209451,10.0,7896.0,,191272,+10,10283,45,5139.0,194.0,1203807.0,29538.0,40754388.0,Asia,08-03-2023
115.0,Iceland,209137,,229.0,,-,-,-,2,605504.0,663.0,1996384.0,5780036.0,345393.0,Europe,08-03-2023
116.0,Kyrgyzstan,206708,35.0,2991.0,,196406,,7311,131,30722.0,445.0,1907195.0,283460.0,6728271.0,Asia,08-03-2023
117.0,Guadeloupe,201886,34.0,1010.0,,-,-,-,19,504975.0,2526.0,938039.0,2346306.0,399794.0,North America,08-03-2023
118.0,El Salvador,201785,,4230.0,,179410,,18145,8,30805.0,646.0,2610114.0,398467.0,6550389.0,North America,08-03-2023
119.0,Trinidad and Tobago,189918,,4355.0,,185101,,462,8,135021.0,3096.0,900861.0,640460.0,1406585.0,North America,08-03-2023
120.0,Maldives,185738,,311.0,,163687,,21740,25,343333.0,575.0,2213831.0,4092223.0,540985.0,Asia,08-03-2023
121.0,Ghana,171229,,1462.0,,169726,,41,2,5286.0,45.0,2531089.0,78131.0,32395450.0,Africa,08-03-2023
122.0,Namibia,171156,,4090.0,,166776,,290,,64983.0,1553.0,1062663.0,403460.0,2633874.0,Africa,08-03-2023
