"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
Latvia,976255,27.0,6253.0,1.0,969642.0,19.0,360.0,528037.0,3382.0,7866206.0,4254678.0,1848837.0,Europe,09-03-2023
Saudi Arabia,830127,83.0,9618.0,0.0,817212.0,73.0,3297.0,23159.0,268.0,45175083.0,1260293.0,35844909.0,Asia,09-03-2023
Azerbaijan,828825,6.0,10138.0,0.0,818497.0,41.0,190.0,80467.0,984.0,7537871.0,731818.0,10300205.0,Asia,09-03-2023
Paraguay,808401,0.0,19878.0,0.0,,,,110651.0,2721.0,2657506.0,363751.0,7305843.0,South America,09-03-2023
Bahrain,710693,387.0,1553.0,0.0,706332.0,319.0,2808.0,398374.0,871.0,10751071.0,6026443.0,1783983.0,Asia,09-03-2023
Sri Lanka,672039,2.0,16830.0,0.0,655203.0,1.0,6.0,31148.0,780.0,6486117.0,300619.0,21575842.0,Asia,09-03-2023
Kuwait,663860,0.0,2570.0,0.0,660237.0,0.0,1053.0,151555.0,587.0,8455743.0,1930391.0,4380326.0,Asia,09-03-2023
Dominican Republic,660790,0.0,4384.0,0.0,644785.0,0.0,11621.0,59766.0,397.0,3740928.0,338350.0,11056370.0,North America,09-03-2023
Cyprus,650685,0.0,1330.0,0.0,644185.0,0.0,5170.0,531872.0,1087.0,9640118.0,7879860.0,1223387.0,Asia,09-03-2023
Myanmar,633950,1.0,19490.0,0.0,614426.0,0.0,34.0,11479.0,353.0,10087876.0,182662.0,55227143.0,Asia,09-03-2023
Palestine,621008,0.0,5404.0,0.0,615445.0,0.0,159.0,116173.0,1011.0,3078533.0,575907.0,5345541.0,Asia,09-03-2023
Estonia,615423,0.0,2946.0,0.0,524990.0,0.0,87487.0,465556.0,2229.0,3679061.0,2783140.0,1321910.0,Europe,09-03-2023
Moldova,611140,0.0,12003.0,0.0,504142.0,0.0,94995.0,152284.0,2991.0,3216305.0,801437.0,4013171.0,Europe,09-03-2023
Venezuela,552168,6.0,5854.0,0.0,545946.0,5.0,368.0,18867.0,200.0,3359014.0,114771.0,29266991.0,South America,09-03-2023
Egypt,515759,0.0,24613.0,0.0,442182.0,0.0,48964.0,4858.0,232.0,3693367.0,34792.0,106156692.0,Africa,09-03-2023
Libya,507187,0.0,6437.0,0.0,500737.0,0.0,13.0,72036.0,914.0,2483812.0,352777.0,7040745.0,Africa,09-03-2023
China,503302,0.0,5272.0,0.0,379053.0,0.0,118977.0,347.0,4.0,160000000.0,110461.0,1448471400.0,Asia,09-03-2023
Ethiopia,500116,14.0,7572.0,0.0,487351.0,4.0,5193.0,4140.0,63.0,5497920.0,45508.0,120812698.0,Africa,09-03-2023
Qatar,495090,108.0,688.0,0.0,493884.0,93.0,518.0,166142.0,231.0,4065369.0,1364257.0,2979915.0,Asia,09-03-2023
Réunion,486588,0.0,921.0,0.0,418572.0,0.0,67095.0,535854.0,1014.0,1603660.0,1766027.0,908061.0,Africa,09-03-2023
Honduras,472250,0.0,11111.0,0.0,,,,46203.0,1087.0,1635967.0,160056.0,10221247.0,North America,09-03-2023
Armenia,447308,0.0,8727.0,0.0,435162.0,0.0,3419.0,150509.0,2936.0,3242901.0,1091164.0,2971966.0,Asia,09-03-2023
Bosnia and Herzegovina,401729,0.0,16280.0,0.0,379084.0,0.0,6365.0,123635.0,5010.0,1884721.0,580036.0,3249317.0,Europe,09-03-2023
